iter	Passed	Remaining
455	930	1109
456	932	1107
457	934	1105
458	936	1103
459	939	1102
460	941	1100
461	942	1097
462	944	1095
463	946	1093
464	948	1091
465	950	1088
466	951	1086
467	954	1085
468	956	1082
469	958	1080
470	960	1078
471	961	1075
472	963	1073
473	965	1070
474	966	1068
475	968	1066
476	971	1064
477	972	1062
478	974	1060
479	976	1057
480	978	1055
481	980	1053
482	982	1051
483	984	1049
484	987	1048
485	988	1045
486	990	1043
487	993	1042
488	995	1040
489	998	1038
490	1000	1037
491	1003	1036
492	1006	1034
493	1008	1033
494	1010	1030
495	1012	1028
496	1014	1026
497	1015	1024
498	1018	1023
499	1020	1020
500	1022	1018
501	1024	1016
502	1025	1013
503	1027	1011
504	1029	1009
505	1031	1006
506	1034	1005
507	1035	1003
508	1037	1001
509	1039	998
510	1041	996
511	1043	994
512	1044	992
513	1046	989
514	1049	988
515	1051	986
516	1053	983
517	1055	981
518	1056	979
519	1058	977
520	1061	975
521	1063	973
522	1066	972
523	1068	970
524	1070	968
525	1072	966
526	1074	964
527	1076	961
528	1077	959
529	1079	957
530	1082	956
531	1084	953
532	1086	952
533	1089	950
534	1091	948
535	1093	946
536	1095	944
537	1098	943
538	1100	940
539	1101	938
540	1103	936
541	1105	934
542	1107	931
543	1109	929
544	1111	927
545	1114	926
546	1115	924
547	1117	921
548	1119	919
549	1120	917
550	1122	914
551	1124	912
552	1126	910
553	1129	909
554	1130	906
555	1132	904
556	1134	902
557	1136	900
558	1138	897
559	1139	895
560	1141	893
561	1143	891
562	1146	889
563	1148	887
564	1150	885
565	1151	883
566	1153	880
567	1155	878
568	1157	876
569	1159	874
570	1162	873
571	1164	871
572	1166	868
573	1167	866
574	1169	864
575	1172	862
576	1174	861
577	1178	860
578	1181	858
579	1183	857
580	1186	855
581	1188	853
582	1190	851
583	1193	849
584	1195	847
585	1197	845
586	1199	844
587	1201	842
588	1204	840
589	1206	838
590	1209	837
591	1211	835
592	1213	833
593	1216	831
594	1218	829
595	1220	827
596	1221	824
597	1224	823
598	1226	821
599	1228	818
600	1230	816
601	1232	814
602	1233	812
603	1235	810
604	1237	807
605	1240	806
606	1242	804
607	1244	802
608	1246	800
609	1248	798
610	1250	795
611	1251	793
612	1253	791
613	1256	789
614	1258	787
615	1260	785
616	1262	783
617	1265	782
618	1267	780
619	1269	777
620	1272	776
621	1274	774
622	1276	772
623	1278	770
624	1280	768
625	1281	765
626	1283	763
627	1285	761
628	1288	759
629	1290	757
630	1291	755
631	1293	753
632	1295	751
633	1297	749
634	1299	747
635	1301	744
636	1304	743
637	1306	741
638	1307	738
639	1309	736
640	1311	734
641	1313	732
642	1314	730
643	1316	727
644	1319	726
645	1321	724
646	1323	722
647	1326	720
648	1329	718
649	1331	716
650	1334	715
651	1336	713
652	1339	711
653	1342	709
654	1344	708
655	1346	706
656	1349	704
657	1351	702
658	1354	700
659	1357	699
660	1359	697
661	1362	695
662	1364	693
663	1367	691
664	1370	690
665	1371	687
666	1373	685
667	1375	683
668	1377	681
669	1378	679
670	1380	677
671	1383	675
